417	1483
168	74
392	1278
409	28
1184	1391
1432	955
90	301
1046	533
919	1125
675	1388
68	1003
1353	994
1267	962
1264	1321
394	1326
21	1191
675	64
514	289
763	1373
1276	828
1257	39
1164	329
1476	565
896	36
461	1402
33	72
723	534
542	682
695	41
248	119
708	93
1214	1307
1369	1371
577	916
1174	293
441	1008
174	1455
1394	596
698	1456
957	7
1168	708
859	1203
727	188
964	114
1186	10
150	784
812	812
881	161
162	148
923	1271
1172	622
989	467
252	1266
688	349
1177	316
898	1129
1304	1082
282	424
1064	1369
1295	180
1447	149
301	713
34	919
150	622
1190	512
499	60
634	1188
799	481
193	1444
430	400
8	719
879	804
813	488
113	1340
1167	1009
451	651
6	1136
1346	166
260	1286
664	1140
581	662
910	661
852	547
501	330
418	1402
1342	316
1236	31
964	1383
1063	235
44	539
1268	948
303	1388
1019	701
948	707
459	1212
636	489
195	459
231	894
1233	851
1165	578
1456	528
638	934
693	889
121	1207
518	135
1131	1392
1238	1478
164	677
442	1492
263	1327
22	827
270	452
276	538
286	24
589	628
128	922
257	320
1066	1189
1326	1029
357	894
1254	22
931	1233
854	991
1046	1464
467	384
535	1247
1070	110
510	849
380	459
1431	999
1445	557
1350	725
747	505
472	1110
1411	671
649	14
643	1110
163	599
419	958
725	63
878	957
661	658
1230	1344
1456	812
32	303
222	1079
1209	808
1399	750
1200	1444
770	185
381	171
61	189
233	903
1027	513
90	701
692	324
1207	1316
488	478
119	174
271	765
338	1037
964	1347
1440	347
566	1123
986	703
323	298
1352	317
1433	1325
853	1444
899	281
522	1098
117	1182
1070	668
1472	1004
168	645
148	1136
575	574
1288	1168
554	948
16	315
895	1129
623	76
303	1188
781	993
705	629
532	107
980	34
466	1289
359	1454
13	35
783	751
1115	626
307	765
95	765
1349	645
677	1399
949	455
1411	512
719	386
468	269
1134	999
929	701
544	229
216	854
798	937
112	29
600	1013
752	1170
10	382
952	1008
458	539
885	697
531	716
1006	753
139	1485
1127	1438
992	797
523	793
1093	324
666	699
819	493
1500	695
592	671
1194	644
1325	1426
539	1259
63	1310
792	1091
328	1225
252	408
1040	587
1202	402
1324	1012
340	1027
1483	477
1322	130
190	1455
1185	904
1398	401
103	1172
682	1232
348	1490
456	722
581	479
590	233
25	761
1109	1442
389	447
1484	1219
306	1245
1167	924
1158	1182
76	558
288	45
723	1486
621	1026
42	1001
687	350
388	343
337	583
1368	536
1482	484
183	303
979	224
5	1334
1496	261
929	923
843	1455
1199	446
1268	854
1195	736
188	722
154	568
1349	1455
1488	1437
164	1310
1465	1271
298	776
873	482
949	1329
580	298
415	599
972	813
177	649
364	280
1353	1367
901	742
550	1265
848	414
1449	728
603	1499
274	369
1043	445
333	1206
432	1500
287	1050
823	1462
429	1073
1496	1102
1059	180
507	1492
1231	871
482	883
577	86
1081	597
712	1467
418	3
974	594
721	775
1436	1257
323	110
917	723
348	78
488	313
290	705
827	93
49	1053
1403	367
305	1380
67	1281
1066	840
628	1005
497	375
957	651
635	144
486	890
495	331
991	945
185	787
32	1207
1442	244
391	254
1424	1299
464	1230
790	1330
17	1486
165	880
727	1409
783	1153
859	226
141	980
1355	273
323	62
240	482
612	445
1035	361
695	329
620	1497
157	394
275	589
762	955
34	1421
604	575
700	501
604	403
712	1489
1175	644
1127	1341
940	1431
1289	120
455	1303
567	848
630	1129
373	357
169	1112
1166	1236
969	676
597	498
662	885
380	290
521	1490
112	427
169	731
235	511
382	293
46	1386
728	993
251	923
1062	1072
1408	1070
790	770
1463	1030
1222	1301
65	950
570	1077
722	419
917	1146
482	820
751	114
1130	867
528	786
831	1304
297	1491
504	1252
1468	1310
455	412
590	658
633	912
1038	1386
703	1095
1250	1047
434	13
1402	587
259	281
873	1004
504	224
418	124
1435	1346
1440	1406
640	444
1019	783
875	220
1219	835
400	166
769	219
787	1407
300	1096
316	604
745	85
819	684
1167	237
1378	447
489	644
439	1204
24	190
89	827
940	1359
556	604
1071	1270
1193	1459
585	711
1121	769
74	207
61	1303
632	1232
826	559
969	730
1179	1288
853	755
847	855
36	858
271	1364
1046	834
1314	1166
1141	986
699	948
1381	1324
192	329
1355	601
576	1151
243	680
1063	568
35	931
915	1258
609	1035
867	1202
1374	1062
952	644
1330	1044
1428	565
1480	267
906	1289
1299	861
1257	103
379	1436
253	856
553	589
504	473
109	462
1114	246
310	713
327	1104
937	855
14	1038
1080	744
235	1241
430	614
1455	453
1163	1313
580	432
1109	735
556	1377
359	126
655	553
1055	265
413	1128
495	29
586	43
1041	1192
1372	696
579	1400
243	1306
1197	1402
677	1249
242	1153
121	962
1483	300
182	235
1480	1473
1237	1029
821	668
671	159
1269	1270
1121	519
617	409
183	1443
1047	386
1268	232
1275	1444
428	701
1428	526
1027	951
984	1211
1262	14
133	412
1489	739
728	1362
532	1236
687	698
12	214
1307	771
1093	1082
1421	456
1185	436
1295	863
332	576
1212	1218
224	1146
1336	468
881	1349
369	244
569	1413
382	459
197	323
1150	1104
1159	1437
318	377
888	1235
353	524
352	600
1221	112
58	683
710	794
358	819
563	352
725	353
613	1377
315	1213
920	396
1064	1339
493	1147
1233	545
1270	1220
1364	1091
1478	255
1251	526
1332	801
5	1053
1131	1358
1326	1402
17	491
720	78
336	295
52	153
78	28
367	181
1493	829
1084	1085
1199	487
3	961
1328	81
698	793
1306	325
321	1008
271	478
287	956
886	1495
1089	211
739	650
539	248
441	463
1230	996
773	940
502	1261
1393	1458
739	210
1068	110
127	189
214	902
1238	1290
529	186
275	1499
1318	491
1029	1165
589	26
66	1390
1407	1142
1383	1038
1162	301
55	1077
372	1206
1103	762
1394	1174
572	1102
1140	64
681	251
934	785
1072	29
857	672
238	600
731	643
471	1056
542	1356
1032	973
8	476
1285	25
644	443
1483	33
977	1413
1263	1029
308	1139
249	1496
1481	1257
815	877
367	1464
246	727
33	1213
1255	320
956	758
1097	1329
54	69
906	250
437	855
140	646
390	1350
926	692
1474	916
715	573
1263	892
420	979
804	1039
1001	15
1242	903
1154	1344
110	11
1288	1287
256	1168
1288	1050
1487	1112
605	145
480	803
569	41
886	1026
1301	238
187	1436
1250	283
1088	247
1401	615
1226	695
1024	679
185	1488
1179	715
1123	1145
469	11
578	38
174	568
60	38
1038	1335
1044	214
1181	98
930	475
75	249
211	215
840	989
826	787
968	157
647	404
1101	941
939	308
1177	24
1195	1456
488	1009
749	805
371	1334
1456	787
1142	1498
1499	706
541	1101
1093	1340
1053	455
850	773
443	10
1282	1239
222	380
